Tiempo(ms),SensorLlama
115,3252
825,4095
1535,4095
2245,4095
2955,4095
3665,4095
4375,4095
5085,4095
5795,4095
6505,4095
7215,4095
7925,4095
8635,4095
9345,4095
10055,4095
10765,4095
11475,4095
12185,4095
12895,4095
13605,4095
14315,4095
15025,4095
15735,4095
16445,4095
17155,4095
17865,4095
18575,4095
19285,4095
19995,285
20705,61
21415,2716
22125,3135
22835,889
23565,157
24274,2622
24984,442
25694,3022
26404,4095
27114,3041
27824,778
28534,4095
29244,4095
29954,2530
30667,1296
31377,1218
32087,611
32797,3633
33507,3439
34217,337
34927,2951
35637,3152
36347,93
37077,2450
37786,3508
38496,64
39206,3249
39916,2689
40626,957
41336,64
42046,2159
42756,931
43466,265
44176,1607
44886,1669
45596,1455
46306,4095
47016,4095
47726,4095
48436,4095
49146,4095
49876,4095
50585,4095
51295,4095
52005,4095
52715,4095
53425,4095
54135,4095
54845,4095
55555,4095
56265,4095
56975,4095
57685,4095
58395,4095
59105,4095
